region_name,pays,andwi,ari,ari2,arvi,atsavi,avi,aweinsh,aweish,bai,bcc,bi,bitm,bixs,blfei,bndvi,brba,dbi,dbsi,ebbi,embi,evi,fai,ibi,lswi,malaria prevalence,nbai,ndvi,ndyi,wi2
Boucle du Mouhoun,burkina,-0.42706042528152466,-0.16207830607891083,-0.04726186767220497,0.36859849095344543,0.06702810525894165,,-0.27699944376945496,-0.6585356593132019,0.25097107887268066,0.20722055435180664,0.19120396673679352,0.13059855997562408,0.15022678673267365,-0.3160868287086487,0.5753338932991028,0.4683974087238312,-1.2527058124542236,0.23908962309360504,4.475514288060367e-4,0.21692213416099548,2342.4765625,-0.17590001225471497,-7.64694356918335,-0.12048932164907455,0.3061046898365021,-0.8283334970474243,3650.92041015625,0.18097959458827972,-0.4362943768501282
Cascades,burkina,-0.47009462118148804,-0.17081783711910248,-0.04675351455807686,0.4561501443386078,0.07813389599323273,0.09101203083992004,-0.3239019811153412,-0.6177576184272766,0.17056678235530853,0.20381370186805725,0.14496710896492004,0.09995310008525848,0.11517945677042007,-0.3554908037185669,0.6421120166778564,0.41908925771713257,-1.349173665046692,0.1686076819896698,2.306233800482005e-4,0.23706746101379395,3053.725341796875,-0.1307222992181778,-3.288114070892334,-0.06989889591932297,0.3134995996952057,-0.872645914554596,4798.75341796875,0.14266915619373322,-0.33525174856185913
Centre,burkina,-0.39071324467658997,-0.15961673855781555,-0.048971813172101974,0.32993414998054504,0.06331747770309448,,-0.2564852237701416,-0.6602388620376587,0.28105106949806213,0.20671872794628143,0.19654546678066254,0.14949728548526764,0.17203854024410248,-0.296701043844223,0.5469259023666382,0.5107861161231995,-1.211649775505066,0.24673452973365784,4.7599722165614367e-4,0.18760281801223755,2112.353271484375,-0.17915096879005432,-12.20095157623291,-0.12098117172718048,0.3048761785030365,-0.8068211078643799,3177.06982421875,0.1737062931060791,-0.40695032477378845
CentreEst,burkina,-0.4080910384654999,-0.16387972235679626,-0.05110109597444534,0.34339943528175354,0.06508102267980576,0.23789328336715698,-0.29334893822669983,-0.6993809342384338,0.29375967383384705,0.20809604227542877,0.2054549753665924,0.14840707182884216,0.1706181913614273,-0.30747663974761963,0.5512920618057251,0.5208451747894287,-1.2244386672973633,0.2514375150203705,5.612212116830051e-4,0.2105121910572052,2265.185302734375,-0.20501859486103058,-36.36680221557617,-0.13602215051651,0.2863866984844208,-0.8071267604827881,3453.181640625,0.16860032081604004,-0.403593510389328
CentreNord,burkina,-0.3915134370326996,-0.17388887703418732,-0.058418769389390945,0.30327633023262024,0.06222730875015259,0.16959930956363678,-0.28567689657211304,-0.7344717979431152,0.3222445249557495,0.19793803989887238,0.2125493735074997,0.16659224033355713,0.19288700819015503,-0.2941659986972809,0.557848334312439,0.5217528343200684,-1.1923812627792358,0.27331405878067017,5.5790098849684e-4,0.19633817672729492,1888.538330078125,-0.20125330984592438,-15.136575698852539,-0.13042052090168,0.33709943294525146,-0.7901010513305664,2791.414306640625,0.20332951843738556,-0.4616549015045166
CentreOuest,burkina,-0.40881332755088806,-0.15648102760314941,-0.04578311741352081,0.3653997480869293,0.06590467691421509,,-0.2472529262304306,-0.631256103515625,0.24900344014167786,0.2118912786245346,0.18484292924404144,0.1347508281469345,0.15445685386657715,-0.3061579763889313,0.5559725165367126,0.48281365633010864,-1.243750810623169,0.22630321979522705,4.180711111985147e-4,0.19537757337093353,2483.829833984375,-0.16684845089912415,-7.079864025115967,-0.1152188628911972,0.36157259345054626,-0.8215722441673279,3790.747314453125,0.16282984614372253,-0.3986956775188446
CentreSud,burkina,-0.4038871228694916,-0.15401595830917358,-0.04502467066049576,0.35972604155540466,0.06521601974964142,0.22747567296028137,-0.2552320659160614,-0.6264704465866089,0.2506745457649231,0.21044951677322388,0.18714368343353271,0.13429255783557892,0.15412335097789764,-0.3045504689216614,0.5549765825271606,0.5117772221565247,-1.2391029596328735,0.22625847160816193,4.2820037924684584e-4,0.1946905106306076,2538.947265625,-0.16835545003414154,-8.809260368347168,-0.11482039839029312,0.31637683510780334,-0.824022114276886,3879.742431640625,0.1653202325105667,-0.39396893978118896
Est,burkina,-0.41257134079933167,-0.16160312294960022,-0.04954224452376366,0.35596126317977905,0.0648302286863327,0.17706242203712463,-0.2742261290550232,-0.6662132740020752,0.2692970931529999,0.21346677839756012,0.19416995346546173,0.13965611159801483,0.16011404991149902,-0.30726850032806396,0.5496251583099365,0.49400225281715393,-1.2340155839920044,0.24846233427524567,4.844821523874998e-4,0.2097829431295395,2347.69091796875,-0.1836772859096527,-11.792360305786133,-0.12665125727653503,0.42012158036231995,-0.8187418580055237,3521.644287109375,0.1735975593328476,-0.41442620754241943
HautsBassins,burkina,-0.4516371190547943,-0.16440840065479279,-0.04551510512828827,0.4115646183490753,0.0720100998878479,0.05505087971687317,-0.31105145812034607,-0.6333807110786438,0.20837251842021942,0.20549452304840088,0.17225585877895355,0.11179569363594055,0.12867960333824158,-0.33925387263298035,0.609767735004425,0.4406847059726715,-1.3005099296569824,0.2109643667936325,3.484434855636209e-4,0.23641429841518402,2715.970703125,-0.15496188402175903,-4.7059407234191895,-0.1003248542547226,0.28267937898635864,-0.8563143014907837,4303.673828125,0.16235007345676422,-0.39035749435424805
Nord,burkina,-0.3940454125404358,-0.17349191009998322,-0.05714264512062073,0.30306506156921387,0.0624956376850605,0.10071546584367752,-0.28052768111228943,-0.7261114716529846,0.31263282895088196,0.19479645788669586,0.21139214932918549,0.16233772039413452,0.18840345740318298,-0.29327598214149475,0.5673871636390686,0.5285452604293823,-1.1952875852584839,0.2714041471481323,5.308053223416209e-4,0.1959349364042282,1929.4173583984375,-0.19357512891292572,-11.24177074432373,-0.125386580824852,0.2823182940483093,-0.7949301600456238,2899.109130859375,0.21385936439037323,-0.4840122163295746
PlateauCentral,burkina,-0.38651004433631897,-0.17434929311275482,-0.058206453919410706,0.32544684410095215,0.06453940272331238,0.2396039515733719,-0.28360629081726074,-0.7152280807495117,0.3035125136375427,0.20426180958747864,0.19673888385295868,0.16274003684520721,0.18760201334953308,-0.2945605516433716,0.5516381859779358,0.5351050496101379,-1.2093671560287476,0.24516600370407104,4.996942589059472e-4,0.1862780898809433,2120.22021484375,-0.1896858662366867,-0.5268843173980713,-0.11568763107061386,0.31940439343452454,-0.7943369746208191,3132.361328125,0.18516066670417786,-0.42742955684661865
Sahel,burkina,-0.37755900621414185,-0.17812487483024597,-0.06425675004720688,0.27008429169654846,0.05951226130127907,0.18868674337863922,-0.25894856452941895,-0.7832387089729309,0.37275904417037964,0.19379889965057373,0.22539344429969788,0.19026590883731842,0.2209668755531311,-0.2780979573726654,0.5463375449180603,0.5458333492279053,-1.1612333059310913,0.29111042618751526,6.545629585161805e-4,0.1828816831111908,1616.6090087890625,-0.22251860797405243,-14.369938850402832,-0.13954226672649384,0.3291641175746918,-0.7588392496109009,2326.50732421875,0.22977834939956665,-0.5075085759162903
SudOuest,burkina,-0.4504431188106537,-0.1453271061182022,-0.03584375977516174,0.4235583245754242,0.0704849362373352,,-0.2654015123844147,-0.5530781745910645,0.1770574301481247,0.20744962990283966,0.16472774744033813,0.09813779592514038,0.11281422525644302,-0.3385854959487915,0.6089622974395752,0.435086727142334,-1.3102824687957764,0.19259226322174072,2.8323056176304817e-4,0.2253602147102356,2901.3740234375,-0.1324336975812912,-4.661361217498779,-0.09442579001188278,0.3434497117996216,-0.8702911734580994,4669.9658203125,0.14602695405483246,-0.34315794706344604
Kayes,mali,-0.4272876977920532,-0.14495331048965454,-0.0386386439204216,0.3885394036769867,0.0656670331954956,0.04470552131533623,-0.2470269799232483,-0.5662381052970886,0.2061951756477356,0.20942290127277374,0.1739872694015503,0.11228887736797333,0.12910760939121246,-0.3213973939418793,0.5831883549690247,0.469923734664917,-1.2722653150558472,0.21701696515083313,3.2949470914900303e-4,0.2134912759065628,2576.584228515625,-0.13963331282138824,-5.828160285949707,-0.10076350718736649,0.22004568576812744,-0.8546091318130493,3978.972900390625,0.18420979380607605,-0.4198746085166931
Koulikoro,mali,-0.4272584021091461,-0.1690026968717575,-0.051805563271045685,0.36637526750564575,0.06724794209003448,0.09614869952201843,-0.282447874546051,-0.6748281717300415,0.2541230320930481,0.20381781458854675,0.1876816302537918,0.13444286584854126,0.15515229105949402,-0.31549206376075745,0.586441695690155,0.4773772060871124,-1.2544304132461548,0.23849430680274963,4.2606433271430433e-4,0.21650026738643646,2451.008544921875,-0.1708335429430008,-6.164890289306641,-0.11067429929971695,0.2728195786476135,-0.8267510533332825,3676.500244140625,0.19380511343479156,-0.4515942931175232
Sikasso,mali,-0.464046448469162,-0.16658049821853638,-0.045122355222702026,0.443880170583725,0.07514997571706772,0.06313434988260269,-0.33600884675979614,-0.6209059953689575,0.18706537783145905,0.21012063324451447,0.1572699248790741,0.10302697122097015,0.11825542151927948,-0.35709720849990845,0.622083842754364,0.42334818840026855,-1.3319506645202637,0.19261635839939117,2.970399218611419e-4,0.2512196898460388,2973.791015625,-0.14417409896850586,-4.020439147949219,-0.08765686303377151,0.29127037525177,-0.8714713454246521,4646.0869140625,0.1623198240995407,-0.38769733905792236
Segou,mali,-0.3993363082408905,-0.17693199217319489,-0.059001289308071136,0.3358636498451233,0.06554919481277466,0.11734449118375778,-0.24640662968158722,-0.7177979350090027,0.2944910526275635,0.20420467853546143,0.19077645242214203,0.15952153503894806,0.18385781347751617,-0.2901618480682373,0.560003936290741,0.5143225193023682,-1.2204525470733643,0.2408560961484909,4.72555635496974e-4,0.1836538463830948,2114.090576171875,-0.1834077090024948,-0.12073551118373871,-0.11017726361751556,0.24701787531375885,-0.7907533049583435,3108.01220703125,0.20117369294166565,-0.4636398255825043
Mopti,mali,-0.375704824924469,-0.17324654757976532,-0.06065358966588974,0.30582791566848755,0.06232638657093048,0.1255209743976593,-0.22068940103054047,-0.7265360355377197,0.3285435736179352,0.20114463567733765,0.19831794500350952,0.1773693859577179,0.2046104520559311,-0.27369606494903564,0.5438154935836792,0.5528439879417419,-1.1901140213012695,0.2459290474653244,5.2977807354182e-4,0.16410090029239655,1802.8187255859375,-0.1934107393026352,-15.80458927154541,-0.11307287961244583,0.18663115799427032,-0.7701771259307861,2685.919189453125,0.22864320874214172,-0.4997328519821167
Tombouctou,mali,-0.32185593247413635,-0.20902961492538452,-0.1014368012547493,0.207757368683815,0.054733533412218094,0.13885070383548737,0.04098227247595787,-0.882418155670166,0.4875503182411194,0.18968431651592255,0.21253395080566406,0.2843347191810608,0.3303402066230774,-0.1957055628299713,0.512803852558136,0.6775308847427368,-1.0989856719970703,0.27575814723968506,5.808846326544881e-4,0.08633218705654144,862.5455322265625,-0.19377776980400085,-7.488260269165039,-0.09785798192024231,0.17236196994781494,-0.6263315081596375,1148.906005859375,0.2788033187389374,-0.5603178143501282
